               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11573,            0.014654,            0.075875,           0.0031381,                0.15,           0.0071518,           0.0014016,             0.10221,            0.010511,            0.076512,              0.0991,              0.0001,              0.0001
                   1,             0.11344,            0.013098,            0.074672,           0.0039713,                 0.2,           0.0080757,           0.0013728,             0.10157,            0.010576,            0.075802,            0.097299,          0.00029941,          0.00029941
                   2,             0.10809,            0.012948,            0.076003,           0.0027372,                0.15,           0.0074129,           0.0013168,            0.099506,            0.010801,            0.074314,            0.095498,          0.00049802,          0.00049802
                   3,             0.11258,            0.015816,            0.072663,           0.0035641,                 0.2,           0.0074679,           0.0015428,            0.097231,            0.011128,            0.072579,            0.093696,          0.00069584,          0.00069584
                   4,             0.11221,            0.014279,            0.073179,           0.0033413,                 0.2,           0.0077182,            0.001204,             0.09492,            0.011533,            0.070364,            0.091893,          0.00089287,          0.00089287
                   5,             0.10846,            0.017562,            0.071611,           0.0047617,                 0.3,            0.010712,           0.0015387,            0.093225,            0.011865,            0.068155,            0.090089,           0.0010891,           0.0010891
                   6,             0.10622,            0.020885,             0.06907,           0.0059442,                 0.4,            0.017426,           0.0023614,            0.091513,            0.012227,            0.065845,            0.088285,           0.0012846,           0.0012846
                   7,            0.099881,            0.019043,            0.067265,           0.0061751,                0.45,            0.033053,           0.0058731,            0.088841,            0.012768,            0.063325,            0.086479,           0.0014792,           0.0014792
                   8,            0.094697,            0.018849,            0.065143,           0.0086917,                0.65,            0.036714,           0.0060487,            0.088286,            0.012878,            0.062001,            0.084673,           0.0016731,           0.0016731
                   9,            0.090064,            0.018108,            0.066932,           0.0078179,                0.65,            0.043959,           0.0074748,            0.086171,            0.013328,            0.060393,            0.082866,           0.0018661,           0.0018661
                  10,            0.096617,            0.023558,            0.062269,           0.0099491,                 0.8,            0.044737,           0.0087668,            0.085008,            0.013299,             0.05907,            0.081058,           0.0020584,           0.0020584
                  11,            0.091204,            0.016927,            0.060438,           0.0097895,                 0.8,            0.065314,            0.015409,            0.080478,            0.013852,              0.0572,             0.07925,           0.0022499,           0.0022499
                  12,            0.090003,            0.021127,            0.058994,            0.010956,                0.95,            0.084432,             0.02322,            0.077984,            0.014131,            0.054757,            0.077441,           0.0024406,           0.0024406
                  13,            0.085141,             0.02103,            0.056654,           0.0098749,                 0.9,             0.10452,            0.038989,            0.071915,            0.014714,             0.05159,            0.075631,           0.0026305,           0.0026305
                  14,            0.089102,            0.019804,            0.054713,           0.0098908,                0.95,              0.1868,            0.064234,            0.069095,            0.014778,            0.048445,             0.07382,           0.0028196,           0.0028196
                  15,            0.080907,            0.021195,            0.049621,           0.0098295,                   1,             0.19954,            0.056699,            0.067667,            0.014834,            0.045293,            0.072008,           0.0030079,           0.0030079
                  16,            0.088183,            0.025964,            0.047067,           0.0083719,                   1,             0.13873,            0.032513,             0.07087,            0.014133,            0.042478,            0.070195,           0.0031955,           0.0031955
                  17,              0.0811,            0.020404,             0.04505,           0.0078422,                   1,             0.15142,            0.029759,            0.077441,            0.012972,            0.040819,            0.068382,           0.0033822,           0.0033822
                  18,            0.086055,             0.02398,             0.04703,           0.0074566,                   1,             0.19561,            0.043625,            0.071559,            0.013361,            0.039462,            0.066568,           0.0035681,           0.0035681
                  19,            0.079423,            0.020113,            0.039565,            0.055071,             0.69785,             0.13486,            0.039695,            0.074144,            0.012698,            0.038729,            0.064753,           0.0037533,           0.0037533
                  20,             0.08275,            0.021478,            0.040146,             0.11518,                 0.3,             0.23493,            0.061708,            0.071986,            0.012593,            0.037971,            0.062938,           0.0039376,           0.0039376
                  21,            0.080785,            0.017131,            0.037668,             0.37317,                0.35,             0.41224,            0.090593,            0.070095,            0.012409,            0.037297,            0.061121,           0.0041212,           0.0041212
                  22,             0.07604,            0.020598,            0.034262,             0.70638,                0.35,             0.35725,             0.13735,            0.074179,             0.01189,            0.035628,            0.059304,            0.004304,            0.004304
                  23,            0.083864,            0.022336,            0.036654,              0.8093,             0.40586,             0.53467,             0.17747,            0.067694,            0.012474,            0.033838,            0.057486,            0.004486,            0.004486
                  24,            0.073765,            0.019834,            0.032504,             0.46209,                 0.9,             0.82777,             0.33324,            0.062515,            0.013209,            0.032278,            0.055667,           0.0046672,           0.0046672
                  25,            0.074274,            0.014105,            0.036003,             0.53393,                0.95,              0.8566,             0.27488,            0.077975,            0.011934,            0.029384,            0.053848,           0.0048475,           0.0048475
                  26,            0.083969,            0.019044,            0.032011,             0.52058,             0.92032,             0.81573,             0.25222,            0.074921,             0.01285,            0.026718,            0.052027,           0.0050272,           0.0050272
